>Contig1	locus1
>Contig2	locus2
>Contig3	locus3
>Contig4	locus4
>Contig5	locus5
>Contig6	locus6
>Contig7	locus7
>Contig8	locus8
>Contig9	locus9
>Contig10	locus10
>Contig11	locus11
>Contig12	locus12
>Contig13	locus13
>Contig14	locus14
>Contig15	locus15
>Contig16	locus16
>Contig17	locus17
>Contig18	locus18
>Contig19	locus19
>Contig20	locus20
>Contig21	locus21
>Contig22	locus22
>Contig23	locus23
>Contig24	locus24
>Contig25	locus25
>Contig26	locus26
>Contig27	locus27
>Contig28	locus28
>Contig29	locus29
>Contig30	locus30
>Contig31	locus31
>Contig32	locus32
>Contig33	locus33
>Contig34	locus34
>Contig35	locus35
>Contig36	locus36
>Contig37	locus37
>Contig38	locus38
>Contig39	locus39
>Contig40	locus40
>Contig41	locus41
>Contig42	locus42
>Contig43	locus43
>Contig44	locus44
>Contig45	locus45
>Contig46	locus46
>Contig47	locus47
>Contig48	locus48
>Contig49	locus49
>Contig50	locus50
>Contig51	locus51
>Contig52	locus52
>Contig53	locus53
>Contig54	locus54
>Contig55	locus55
>Contig56	locus56
>Contig57	locus57
>Contig58	locus58
>Contig59	locus59
>Contig60	locus60
>Contig61	locus61
>Contig62	locus62
>Contig63	locus63
>Contig64	locus64
>Contig65	locus65
>Contig66	locus66
>Contig67	locus67
>Contig68	locus68
>Contig69	locus69
>Contig70	locus70
>Contig71	locus71
>Contig72	locus72
>Contig73	locus73
>Contig74	locus74
>Contig75	locus75
>Contig76	locus76
>Contig77	locus77
>Contig78	locus78
>Contig79	locus79
>Contig80	locus80
>Contig81	locus81
>Contig82	locus82
>Contig83	locus83
>Contig84	locus84
>Contig85	locus85
>Contig86	locus86
>Contig87	locus87
>Contig88	locus88
>Contig89	locus89
>Contig90	locus90
>Contig91	locus91
>Contig92	locus92
>Contig93	locus93
>Contig94	locus94
>Contig95	locus95
>Contig96	locus96
>Contig97	locus97
>Contig98	locus98
>Contig99	locus99
>Contig100	locus100
>Contig101	locus101
>Contig102	locus102
>Contig103	locus103
>Contig104	locus104
>Contig105	locus105
>Contig106	locus106
>Contig107	locus107
>Contig108	locus108
>Contig109	locus109
>Contig110	locus110
>Contig111	locus111
>Contig112	locus112
>Contig113	locus113
>Contig114	locus114
>Contig115	locus115
>Contig116	locus116
>Contig117	locus117
>Contig118	locus118
>Contig119	locus119
>Contig120	locus120
>Contig121	locus121
>Contig122	locus122
>Contig123	locus123
>Contig124	locus124
>Contig125	locus125
>Contig126	locus126
>Contig127	locus127
>Contig128	locus128
>Contig129	locus129
>Contig130	locus130
>Contig131	locus131
>Contig132	locus132
>Contig133	locus133
>Contig134	locus134
>Contig135	locus135
>Contig136	locus136
>Contig137	locus137
>Contig138	locus138
>Contig139	locus139
>Contig140	locus140
>Contig141	locus141
>Contig142	locus142
>Contig143	locus143
>Contig144	locus144
>Contig145	locus145
>Contig146	locus146
>Contig147	locus147
>Contig148	locus148
>Contig149	locus149
>Contig150	locus150
>Contig151	locus151
>Contig152	locus152
>Contig153	locus153
>Contig154	locus154
>Contig155	locus155
>Contig156	locus156
>Contig157	locus157
>Contig158	locus158
>Contig159	locus159
>Contig160	locus160
>Contig161	locus161
>Contig162	locus162
>Contig163	locus163
>Contig164	locus164
>Contig165	locus165
>Contig166	locus166
>Contig167	locus167
>Contig168	locus168
>Contig169	locus169
>Contig170	locus170
>Contig171	locus171
>Contig172	locus172
>Contig173	locus173
>Contig174	locus174
>Contig175	locus175
>Contig176	locus176
>Contig177	locus177
>Contig178	locus178
>Contig179	locus179
>Contig180	locus180
>Contig181	locus181
>Contig182	locus182
>Contig183	locus183
>Contig184	locus184
>Contig185	locus185
>Contig186	locus186
>Contig187	locus187
>Contig188	locus188
>Contig189	locus189
>Contig190	locus190
>Contig191	locus191
>Contig192	locus192
>Contig193	locus193
>Contig194	locus194
>Contig195	locus195
>Contig196	locus196
>Contig197	locus197
>Contig198	locus198
>Contig199	locus199
>Contig200	locus200
>Contig201	locus201
>Contig202	locus202
>Contig203	locus203
>Contig204	locus204
>Contig205	locus205
>Contig206	locus206
>Contig207	locus207
>Contig208	locus208
>Contig209	locus209
>Contig210	locus210
>Contig211	locus211
>Contig212	locus212
>Contig213	locus213
>Contig214	locus214
>Contig215	locus215
>Contig216	locus216
>Contig217	locus217
>Contig218	locus218
>Contig219	locus219
>Contig220	locus220
>Contig221	locus221
>Contig222	locus222
>Contig223	locus223
>Contig224	locus224
>Contig225	locus225
>Contig226	locus226
>Contig227	locus227
>Contig228	locus228
>Contig229	locus229
>Contig230	locus230
>Contig231	locus231
>Contig232	locus232
>Contig233	locus233
>Contig234	locus234
>Contig235	locus235
>Contig236	locus236
>Contig237	locus237
>Contig238	locus238
>Contig239	locus239
>Contig240	locus240
>Contig241	locus241
>Contig242	locus242
>Contig243	locus243
>Contig244	locus244
>Contig245	locus245
>Contig246	locus246
>Contig247	locus247
>Contig248	locus248
>Contig249	locus249
>Contig250	locus250
>Contig251	locus251
>Contig252	locus252
>Contig253	locus253
>Contig254	locus254
>Contig255	locus255
>Contig256	locus256
>Contig257	locus257
>Contig258	locus258
>Contig259	locus259
>Contig260	locus260
>Contig261	locus261
>Contig262	locus262
>Contig263	locus263
>Contig264	locus264
>Contig265	locus265
>Contig266	locus266
>Contig267	locus267
>Contig268	locus268
>Contig269	locus269
>Contig270	locus270
>Contig271	locus271
>Contig272	locus272
>Contig273	locus273
>Contig274	locus274
>Contig275	locus275
>Contig276	locus276
>Contig277	locus277
